source_desc,country_code,util_practice_desc,short_desc,Value,end_code,county_name,CV (%),group_desc,watershed_desc,reference_period_desc,state_ansi,agg_level_desc,zip_5,domain_desc,county_code,sector_desc,week_ending,country_name,unit_desc,county_ansi,year,asd_desc,region_desc,class_desc,begin_code,state_fips_code,asd_code,freq_desc,statisticcat_desc,commodity_desc,state_name,prodn_practice_desc,state_alpha,congr_district_code,location_desc,watershed_code,domaincat_desc,load_time
CENSUS,9000,GRAIN,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED","11,466",00,,23.7,FIELD CROPS,,YEAR,51,STATE,,"IRRIGATION METHOD, PRIMARY",,CROPS,,UNITED STATES,ACRES,,2018,,,ALL CLASSES,00,51,,ANNUAL,AREA HARVESTED,CORN,VIRGINIA,IRRIGATED,VA,,VIRGINIA,00000000,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",2018-02-01 00:00:00
CENSUS,9000,GRAIN,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED","11,466",00,,23.7,FIELD CROPS,,YEAR,51,STATE,,TOTAL,,CROPS,,UNITED STATES,ACRES,,2018,,,ALL CLASSES,00,51,,ANNUAL,AREA HARVESTED,CORN,VIRGINIA,IRRIGATED,VA,,VIRGINIA,00000000,NOT SPECIFIED,2018-02-01 00:00:00
CENSUS,9000,GRAIN,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED","1,780",00,,73.1,FIELD CROPS,,YEAR,51,STATE,,WATER SOURCE,,CROPS,,UNITED STATES,ACRES,,2018,,,ALL CLASSES,00,51,,ANNUAL,AREA HARVESTED,CORN,VIRGINIA,IRRIGATED,VA,,VIRGINIA,00000000,WATER SOURCE: (GROUND),2018-02-01 00:00:00
CENSUS,9000,GRAIN,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED","10,686",00,,23.2,FIELD CROPS,,YEAR,51,STATE,,WATER SOURCE,,CROPS,,UNITED STATES,ACRES,,2018,,,ALL CLASSES,00,51,,ANNUAL,AREA HARVESTED,CORN,VIRGINIA,IRRIGATED,VA,,VIRGINIA,00000000,WATER SOURCE: (ON FARM SURFACE),2018-02-01 00:00:00
CENSUS,9000,GRAIN,"CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",1,00,,42.4,FIELD CROPS,,YEAR,51,STATE,,"AREA IRRIGATED, HARVESTED",,CROPS,,UNITED STATES,OPERATIONS,,2018,,,ALL CLASSES,00,51,,ANNUAL,AREA HARVESTED,CORN,VIRGINIA,IRRIGATED,VA,,VIRGINIA,00000000,"AREA IRRIGATED, HARVESTED: (1,000 OR MORE ACRES)",2018-02-01 00:00:00
CENSUS,9000,GRAIN,"CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",53,00,,44.8,FIELD CROPS,,YEAR,51,STATE,,"AREA IRRIGATED, HARVESTED",,CROPS,,UNITED STATES,OPERATIONS,,2018,,,ALL CLASSES,00,51,,ANNUAL,AREA HARVESTED,CORN,VIRGINIA,IRRIGATED,VA,,VIRGINIA,00000000,"AREA IRRIGATED, HARVESTED: (1.0 TO 99.9 ACRES)",2018-02-01 00:00:00
CENSUS,9000,GRAIN,"CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",10,00,,32.9,FIELD CROPS,,YEAR,51,STATE,,"AREA IRRIGATED, HARVESTED",,CROPS,,UNITED STATES,OPERATIONS,,2018,,,ALL CLASSES,00,51,,ANNUAL,AREA HARVESTED,CORN,VIRGINIA,IRRIGATED,VA,,VIRGINIA,00000000,"AREA IRRIGATED, HARVESTED: (100 TO 249 ACRES)",2018-02-01 00:00:00
CENSUS,9000,GRAIN,"CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",12,00,,49.6,FIELD CROPS,,YEAR,51,STATE,,"AREA IRRIGATED, HARVESTED",,CROPS,,UNITED STATES,OPERATIONS,,2018,,,ALL CLASSES,00,51,,ANNUAL,AREA HARVESTED,CORN,VIRGINIA,IRRIGATED,VA,,VIRGINIA,00000000,"AREA IRRIGATED, HARVESTED: (250 TO 499 ACRES)",2018-02-01 00:00:00
CENSUS,9000,GRAIN,"CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",2,00,,65.7,FIELD CROPS,,YEAR,51,STATE,,"AREA IRRIGATED, HARVESTED",,CROPS,,UNITED STATES,OPERATIONS,,2018,,,ALL CLASSES,00,51,,ANNUAL,AREA HARVESTED,CORN,VIRGINIA,IRRIGATED,VA,,VIRGINIA,00000000,"AREA IRRIGATED, HARVESTED: (500 TO 999 ACRES)",2018-02-01 00:00:00
CENSUS,9000,GRAIN,"CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",78,00,,32.6,FIELD CROPS,,YEAR,51,STATE,,"IRRIGATION METHOD, PRIMARY",,CROPS,,UNITED STATES,OPERATIONS,,2018,,,ALL CLASSES,00,51,,ANNUAL,AREA HARVESTED,CORN,VIRGINIA,IRRIGATED,VA,,VIRGINIA,00000000,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",2018-02-01 00:00:00
